,Danceability,Mode,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),ID_CHECK,Song name,Artist,Album,ID
194,0.632,0,0.806,7,-5.771,0.155,0.301,0.0,0.2,0.293,139.124,177693,2IBrgYf3Hjw16c6oNwkZ9M,Dada (feat. Davido) [Remix],Young Jonn,Dada (feat. Davido) [Remix],2IBrgYf3Hjw16c6oNwkZ9M
195,0.582,1,0.695,8,-5.506,0.0975,0.308,5.9e-06,0.112,0.543,101.005,251286,0ApflIvLLPwEZuS36WYlh6,Sugarcane - Remix,Camidoh,Sugarcane (Remix),0ApflIvLLPwEZuS36WYlh6
196,0.543,0,0.529,11,-7.781,0.221,0.626,0.000373,0.22,0.339,110.022,241091,3sIksJyo81gKpR5GyT1c8m,Toxic,Kwesi Arthur,Son Of Jacob,3sIksJyo81gKpR5GyT1c8m
197,0.831,0,0.601,2,-5.674,0.321,0.386,0.116,0.104,0.492,104.068,168743,3AUW4YqukPw4YfBV1ZkkNe,woman,Omah Lay,woman,3AUW4YqukPw4YfBV1ZkkNe
198,0.886,1,0.527,2,-6.798,0.126,0.089,0.0169,0.0537,0.67,103.077,223689,03xs2PVlb4LnopfcGX2o48,Colours - Remix,Kid AlpHa,Colours (Remix),03xs2PVlb4LnopfcGX2o48
199,0.801,0,0.856,11,-8.944,0.0505,0.0371,0.000546,0.0591,0.535,112.988,477329,1rdeLjtCukMRFVW5GgZgHu,Bathini (feat. Young Stunna & Artwork Sounds),Kabza De Small,Bathini (feat. Young Stunna & Artwork Sounds),1rdeLjtCukMRFVW5GgZgHu
200,0.882,0,0.86,5,-4.854,0.0597,0.456,0.00204,0.0766,0.766,119.018,206281,3aDnVO9Omzz4EytKraWg9o,Kilometer - Remix,BNXN fka Buju,Kilometer (Remix),3aDnVO9Omzz4EytKraWg9o
201,0.75,1,0.539,7,-6.704,0.215,0.164,0.0226,0.0633,0.809,196.054,220526,6nLdg1lpE3dHLmNam1aoA6,Dior,Ruger,The Second Wave,6nLdg1lpE3dHLmNam1aoA6
202,0.849,0,0.528,1,-11.402,0.0538,0.627,0.115,0.111,0.424,112.986,288850,3AZY6NZ1R8GI9003EEFPeu,"WATAWI (feat. Davido, Focalistic & Abidoza)",CKay,"WATAWI (feat. Davido, Focalistic & Abidoza)",3AZY6NZ1R8GI9003EEFPeu
203,0.808,0,0.769,7,-7.207,0.0833,0.101,4.12e-05,0.119,0.685,116.001,153103,1mJFFeluclL38IwV264lm9,Peace Be Unto You (PBUY),Asake,Peace Be Unto You (PBUY),1mJFFeluclL38IwV264lm9
204,0.931,0,0.676,6,-7.492,0.0498,0.0152,0.0,0.103,0.739,111.948,165000,6NKuW3yaNXtloGw1RB8WUi,Certified Loner (No Competition),Mayorkun,Certified Loner (No Competition),6NKuW3yaNXtloGw1RB8WUi
205,0.784,0,0.83,7,-5.656,0.0496,0.29,0.152,0.0713,0.868,114.0,155015,5e6Em24aptMFZaDCsvBJpu,o'dun,Naira Marley,God's Timing’s the Best,5e6Em24aptMFZaDCsvBJpu
206,0.597,0,0.739,11,-5.517,0.168,0.585,1.59e-05,0.212,0.73,104.808,178414,4yaPPFIafaVaMRHZ5IHkbA,No Wahala - Remix,1da Banton,No Wahala (Remix),4yaPPFIafaVaMRHZ5IHkbA
207,0.777,1,0.531,6,-7.689,0.0644,0.481,8.62e-06,0.0997,0.58,107.004,188411,1s2FsIDYlX6nhQ6UXF4V2w,SOMETHING,Gyakie,SOMETHING,1s2FsIDYlX6nhQ6UXF4V2w
208,0.649,0,0.655,10,-5.534,0.0652,0.307,0.0,0.22,0.793,92.9,147581,2WigMwGJysIh9fRnSJvpjn,KU LO SA - A COLORS SHOW,Oxlade,KU LO SA - A COLORS SHOW,2WigMwGJysIh9fRnSJvpjn
209,0.694,1,0.568,10,-6.422,0.134,0.676,0.000159,0.338,0.482,123.71,190621,4nwtkUjULEbhp5VJItUWbV,Many Man - A COLORS SHOW,Victony,Many Man - A COLORS SHOW,4nwtkUjULEbhp5VJItUWbV
210,0.845,0,0.575,11,-8.233,0.063,0.276,0.00193,0.114,0.592,104.997,164571,5fM2O9Lz5T8yN9YiJJs2qp,ASE - A COLORS SHOW,Ayra Starr,ASE - A COLORS SHOW,5fM2O9Lz5T8yN9YiJJs2qp
211,0.788,0,0.913,5,-4.495,0.0671,0.243,0.0689,0.272,0.672,99.994,196800,4MzOppXoeKvDsVaNMeOK3C,Girlfriend,Ruger,The Second Wave Deluxe,4MzOppXoeKvDsVaNMeOK3C
212,0.873,0,0.713,6,-5.614,0.102,0.0219,0.0214,0.336,0.839,101.996,201794,5SoDaPgXA4C2BuTPPInaV2,Science,Burna Boy,"Love, Damini",5SoDaPgXA4C2BuTPPInaV2
213,0.726,1,0.617,5,-8.434,0.129,0.0475,0.0796,0.112,0.629,189.953,182037,2dGE7HMvZEjuNxzz4IDLyL,Jagele,Burna Boy,"Love, Damini",2dGE7HMvZEjuNxzz4IDLyL
214,0.62,1,0.601,8,-6.635,0.221,0.154,0.00108,0.271,0.46,103.748,211050,0cE68B5sCz9f3snJ5ueTGZ,Cloak & Dagger (feat. J Hus),Burna Boy,"Love, Damini",0cE68B5sCz9f3snJ5ueTGZ
215,0.731,1,0.755,6,-9.096,0.0359,0.6,0.0134,0.191,0.838,107.973,209969,0s5nhb6ts6uCKAVnGg46y6,Different Size (feat. Victony),Burna Boy,"Love, Damini",0s5nhb6ts6uCKAVnGg46y6
216,0.67,0,0.607,5,-6.44,0.444,0.396,0.0,0.238,0.863,199.666,175677,4bUe0OUcwdu85AMBkZzYFg,Toni-Ann Singh (feat. Popcaan),Burna Boy,"Love, Damini",4bUe0OUcwdu85AMBkZzYFg
217,0.829,1,0.83,0,-4.326,0.0432,0.125,2.77e-05,0.1,0.584,119.958,204031,7nMrhVzouCx2Igpdwzo0Ta,Say You Bad (Remix),Skales,Say You Bad (Remix),7nMrhVzouCx2Igpdwzo0Ta
218,0.818,0,0.513,8,-11.382,0.0574,0.106,0.00105,0.0408,0.583,115.01,186000,7tZMF9Hn5uGsfC7zGXbSKM,Ijo (Laba Laba),Crayon,Ijo (Laba Laba),7tZMF9Hn5uGsfC7zGXbSKM
219,0.862,0,0.632,1,-6.217,0.11,0.309,0.0256,0.112,0.626,93.909,153946,1muOmaGrLHPU86XiE8pLgJ,i’m a mess,Omah Lay,Boy Alone,1muOmaGrLHPU86XiE8pLgJ
220,0.818,1,0.605,1,-7.121,0.038,0.293,0.0116,0.0696,0.366,104.931,178225,5CTQCPv51aLWpwTbqo8mEL,Bandana,Fireboy DML,Bandana,5CTQCPv51aLWpwTbqo8mEL
221,0.581,0,0.699,6,-6.664,0.182,0.292,9.72e-06,0.123,0.428,133.697,150280,5l6ZVWdSdot8a1FjPBiXvz,5 Star,Adekunle Gold,5 Star,5l6ZVWdSdot8a1FjPBiXvz
222,0.751,0,0.564,0,-7.837,0.164,0.139,3.02e-06,0.142,0.601,103.952,177068,7JVUJLsVXysVpSWChbnz9I,10 Toes (feat. Omah Lay),King Promise,5 Star,7JVUJLsVXysVpSWChbnz9I
223,0.68,1,0.671,8,-5.833,0.0935,0.119,1.09e-06,0.087,0.292,95.946,213580,4bJ6gzpOnxPJjq42m1dxT9,Ginger,King Promise,5 Star,4bJ6gzpOnxPJjq42m1dxT9
224,0.823,0,0.762,9,-6.752,0.0481,0.555,1.67e-05,0.113,0.338,114.015,204232,2eVbbAnigX4QdvpceP0VU6,Bad Girl (feat. Wande Coal & Victony),DJ Tunez,Bad Girl (feat. Wande Coal & Victony),2eVbbAnigX4QdvpceP0VU6
225,0.729,0,0.634,4,-7.194,0.175,0.115,1.35e-05,0.0997,0.772,171.862,146840,7vVs4XCsQyGn1Au3drvo9Z,Call Me Every Day (feat. Wizkid),Chris Brown,Call Me Every Day (feat. Wizkid),7vVs4XCsQyGn1Au3drvo9Z
226,0.605,1,0.813,11,-6.416,0.0903,0.304,0.0033,0.132,0.748,199.837,183350,6459gZKddpOoPIH8PAcCwS,All Of Us (Ashawo),Fireboy DML,Playboy,6459gZKddpOoPIH8PAcCwS
227,0.823,1,0.717,9,-3.879,0.0704,0.0356,0.0,0.102,0.489,110.998,132913,6McBvfxgkVfREmQPwTKBUn,Electricity,Pheelz,Electricity,6McBvfxgkVfREmQPwTKBUn
