,Danceability,Mode,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),ID_CHECK,Song name,Artist,Album,ID
83,0.702,0,0.327,6,-10.046,0.115,0.843,0.669,0.373,0.144,84.044,131562,6o072JVrUHju3ReQDwnQvX,Indigo,DYVN,Indigo,6o072JVrUHju3ReQDwnQvX
84,0.538,1,0.314,1,-9.514,0.354,0.645,0.272,0.177,0.434,114.564,145920,32r2k2nglVzoetLtsuyLK7,Lazy Afternoon,Marcos Caixa,Lazy Afternoon,32r2k2nglVzoetLtsuyLK7
85,0.711,1,0.199,6,-13.348,0.0547,0.902,0.857,0.108,0.627,91.976,97463,32SebboTVV30b9Atx9OKFU,comme ça.,UKDD,comme ça.,32SebboTVV30b9Atx9OKFU
86,0.767,1,0.593,8,-10.544,0.132,0.157,0.04,0.106,0.578,78.007,109231,43rQHWHRNUYvjp1kauDnjL,Innocent Duck,Am Froggo,Innocent Duck,43rQHWHRNUYvjp1kauDnjL
87,0.788,1,0.558,1,-9.918,0.212,0.463,0.883,0.12,0.463,77.994,98500,22TqEu9zWwmzAerQAAqyk7,Sweet Sunset,Iassu,Sweet Sunset,22TqEu9zWwmzAerQAAqyk7
88,0.537,0,0.495,9,-9.36,0.0459,0.568,0.644,0.115,0.634,168.063,137522,19AiqwcVZDgbivDpLwZtG3,spirits,n o r m a l,spirits,19AiqwcVZDgbivDpLwZtG3
89,0.855,1,0.56,5,-8.132,0.0743,0.805,0.923,0.42,0.362,94.971,164217,7KPAMOtffV17NiiapCPGnh,Laidback Style,RejSende,Laidback Style,7KPAMOtffV17NiiapCPGnh
90,0.674,0,0.333,4,-10.344,0.0345,0.49,0.856,0.102,0.417,83.921,108571,1xYrQE0XStZEJ9Z5QnFsJL,Lights Out,Deauxnuts,Lights Out,1xYrQE0XStZEJ9Z5QnFsJL
91,0.844,1,0.363,1,-20.08,0.0535,0.916,0.974,0.141,0.362,112.894,85718,27tnbPBfFjof7acoR2aqcQ,Flowers,Goldenninjah,Flowers,27tnbPBfFjof7acoR2aqcQ
92,0.739,0,0.264,11,-15.443,0.0515,0.554,0.84,0.0796,0.847,180.018,124069,0pAZwblmzeso5UGoEMwXEl,JazzStories,Zmeyev,JazzStories,0pAZwblmzeso5UGoEMwXEl
93,0.766,1,0.272,2,-12.642,0.0572,0.658,0.935,0.281,0.39,88.987,142921,2JnVnqt3M2mUw1BJcCqI0U,Coffee Jazz,Phlocalyst,Coffee Jazz,2JnVnqt3M2mUw1BJcCqI0U
94,0.846,1,0.255,10,-14.348,0.161,0.256,0.571,0.113,0.443,85.103,135529,0qHWLH1msM5dfrwcYtCq4Y,Space Maneuvers,Loop Schrauber,Space Maneuvers,0qHWLH1msM5dfrwcYtCq4Y
95,0.444,0,0.375,9,-14.863,0.0601,0.794,0.746,0.106,0.357,149.559,134500,7bpslE0Bb4juoM1LiBml1U,Riverside,Jam'addict,Riverside,7bpslE0Bb4juoM1LiBml1U
96,0.341,0,0.428,2,-14.595,0.0644,0.125,0.969,0.169,0.346,145.204,80257,2MOMbPmESd5YkmNz8LjKAe,Magnifico Disastro,XXIII,Me And Myself,2MOMbPmESd5YkmNz8LjKAe
97,0.504,1,0.286,0,-13.259,0.062,0.669,0.645,0.116,0.405,132.959,129067,5shRAbjr263aLdUb7CjpTR,Silk,Seb Zillner,Silk,5shRAbjr263aLdUb7CjpTR
98,0.809,0,0.343,9,-10.838,0.112,0.894,0.949,0.0919,0.146,79.977,114000,6mD3Y8GFnYQUXGRTMjaCYN,Habitual,Sebastian Kamae,Habitual,6mD3Y8GFnYQUXGRTMjaCYN
99,0.561,1,0.333,6,-13.941,0.141,0.628,0.794,0.116,0.298,88.138,122500,3lxsDTkTUDegCbh5ptgUFO,snow flowers,flamingo zamperoni,snow flowers,3lxsDTkTUDegCbh5ptgUFO
100,0.676,0,0.51,6,-7.901,0.088,0.0699,0.811,0.0978,0.633,166.286,118584,4Lhuuq3188ce17rKSlTzgP,Orange Sunshine,Mama Aiuto,Orange Sunshine,4Lhuuq3188ce17rKSlTzgP
101,0.677,0,0.31,10,-10.002,0.13,0.513,0.885,0.589,0.235,148.117,108069,6BtRHhPR8PcfBBSAsY0ppd,Count Basic,Platinum Dust,Count Basic,6BtRHhPR8PcfBBSAsY0ppd
102,0.808,1,0.207,9,-14.228,0.0819,0.889,0.931,0.145,0.666,124.083,111253,3vDlW4JNICUAN27xLrYj08,Aubade,Tom Doolie,Aubade,3vDlW4JNICUAN27xLrYj08
103,0.589,1,0.392,1,-13.404,0.0389,0.958,0.769,0.102,0.313,92.008,135652,2O5xRNJzk8w6ew9ofu8vLa,Solenidae,Phlocalyst,Aphrodisiac,2O5xRNJzk8w6ew9ofu8vLa
104,0.697,0,0.575,0,-9.67,0.0406,0.00291,0.612,0.106,0.685,88.014,134318,4RMcbb9ITtAESFO6Sg0DLo,Sunflakes,RLLBTS,Sunflakes,4RMcbb9ITtAESFO6Sg0DLo
105,0.728,0,0.493,6,-10.149,0.0523,0.598,0.822,0.112,0.406,149.946,147453,4oEnDh6kO0qc92pFabcgEV,Glowing Willow,Mr. Käfer,Eunoia,4oEnDh6kO0qc92pFabcgEV
106,0.635,1,0.42,7,-11.784,0.0411,0.112,0.886,0.0784,0.699,80.012,96023,63kQCkG3LYRD90O2QZbhnh,Unexpected World,GXNXSIS,Unexpected World,63kQCkG3LYRD90O2QZbhnh
107,0.565,0,0.329,10,-11.305,0.343,0.00836,0.91,0.101,0.56,159.901,123544,1rH0fl85kkL8ySygNMWvRM,Just Us,Malia Løu,Just Us,1rH0fl85kkL8ySygNMWvRM
108,0.858,0,0.326,5,-10.759,0.165,0.785,0.805,0.11,0.827,86.075,111628,2fcsZk3v6B5vPtDULRXi16,brush strokes.,MF Eistee,brush strokes.,2fcsZk3v6B5vPtDULRXi16
109,0.864,0,0.238,7,-13.999,0.0566,0.618,0.825,0.0946,0.677,90.0,123201,0YYVvpHHqQ2eIhOvDwuaM3,Journey,Eu93ne,Journey,0YYVvpHHqQ2eIhOvDwuaM3
110,0.807,0,0.136,0,-11.208,0.0542,0.648,0.937,0.0668,0.558,83.997,151562,6VBQIs3Y1RcXgEtxxdHPuu,Central,Sammy TQ,Central,6VBQIs3Y1RcXgEtxxdHPuu
111,0.706,0,0.347,8,-11.301,0.144,0.261,0.932,0.0987,0.355,171.963,127733,5JuEdzGvKzxKkRbNhWCgvM,Pacific Nights,MagFi,Pacific Nights,5JuEdzGvKzxKkRbNhWCgvM
112,0.437,0,0.269,0,-12.833,0.0396,0.239,0.895,0.0913,0.0587,156.754,137173,7tobQQazW32ZWVzc6yTLSY,Ventilator,Mr. Käfer,Ventilator,7tobQQazW32ZWVzc6yTLSY
113,0.448,1,0.11,0,-19.014,0.0618,0.522,0.386,0.246,0.262,168.378,143402,5bJwIC3hWM6j8JYAUGZ4AV,Some kind of green,Phlocalyst,Some kind of green,5bJwIC3hWM6j8JYAUGZ4AV
114,0.745,1,0.439,5,-9.348,0.0412,0.21,0.952,0.124,0.244,170.05,147067,2D9SmqzzP87eOJjSFPIYQJ,Everyone Has Dreams,Zairis Téjion,After I Found Peace,2D9SmqzzP87eOJjSFPIYQJ
115,0.563,0,0.245,1,-13.924,0.336,0.872,0.903,0.105,0.433,169.58,91209,1kGX01yhwMRuuyOEd1H4OU,Shawty,JAY VANILLA,Shawty,1kGX01yhwMRuuyOEd1H4OU
116,0.83,0,0.263,7,-10.287,0.0451,0.885,0.716,0.107,0.467,134.95,138667,6Qu2SmU6jgmKNhefkWFW0T,Natural Springs,Oaty.,Natural Springs,6Qu2SmU6jgmKNhefkWFW0T
