,Danceability,Mode,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),ID_CHECK,Song name,Artist,Album,ID
74,0.627,1,0.64,6,-4.36,0.0337,0.668,0.0,0.118,0.297,85.976,201000,778mwcSuZ2xYUtDweHvzqL,Anh Dang Noi Dau,Various Artists,Tuyen Tap Nhac Viet Hay Nhat Nam 2016,778mwcSuZ2xYUtDweHvzqL
75,0.709,0,0.805,1,-5.428,0.0504,0.707,0.00232,0.15,0.859,95.014,246100,5mObZG1J2kIwIyzVfLyRRe,Khong Phai Dang Vua Dau,Nhac Tre,Khong Phai Dang Vua Dau,5mObZG1J2kIwIyzVfLyRRe
76,0.735,1,0.809,7,-3.982,0.0408,0.462,0.0,0.208,0.735,111.039,213408,4hR2GRosfrkacPvHxCHBIU,Neu Nhu Anh Den,Văn Mai Hương,Hay Mim Cuoi,4hR2GRosfrkacPvHxCHBIU
77,0.491,0,0.528,8,-5.652,0.0337,0.856,0.0,0.116,0.551,131.847,302869,07ILRB0mQuUuAjlXuKTHAA,,Various Artists,,07ILRB0mQuUuAjlXuKTHAA
78,0.534,1,0.434,3,-7.344,0.0307,0.757,0.0,0.144,0.266,144.027,289634,3hRibSRW5MzsBFKhMuW93J,Giup Anh Tra Loi Nhung Cau Hoi,Various Artists,New Hits,3hRibSRW5MzsBFKhMuW93J
79,0.471,1,0.387,4,-7.223,0.0276,0.928,7.32e-05,0.104,0.429,129.881,262139,3mBwcEWG9YQsx4TzmiktNb,,Various Artists,,3mBwcEWG9YQsx4TzmiktNb
80,0.695,0,0.935,9,-2.583,0.0376,0.0967,0.0,0.216,0.415,112.004,252082,0woSKRWOhPEa7bpUXZOhF8,,Various Artists,,0woSKRWOhPEa7bpUXZOhF8
81,0.516,1,0.555,1,-6.538,0.0314,0.774,0.0,0.101,0.352,135.916,238838,5RTyQQjoxSVV9yYcSJrwS3,Danh Cho Em,Hoang Ton,The Best Of Hoang Ton,5RTyQQjoxSVV9yYcSJrwS3
82,0.246,1,0.327,0,-9.283,0.0287,0.94,9.14e-05,0.151,0.285,67.105,285062,2FintYQ6CwrGgKdXhON0T4,Chac Ai Do Se Ve,Various Artists,"You, Vol. 1",2FintYQ6CwrGgKdXhON0T4
83,0.626,1,0.451,9,-5.991,0.0281,0.886,4.39e-06,0.0883,0.342,119.924,292089,3s19m3Ab3JNyDC6Ura0g66,Ngoc,Huong Tram,Hay De Em Quen (Ngoc 2),3s19m3Ab3JNyDC6Ura0g66
84,0.643,1,0.381,7,-6.986,0.0303,0.861,1.28e-06,0.177,0.337,125.811,301302,4qksfxNnEsug4JjKfJ6C4O,Hay De Em Quen - Ngoc 2,Huong Tram,Hay De Em Quen (Ngoc 2),4qksfxNnEsug4JjKfJ6C4O
85,0.646,1,0.758,3,-4.592,0.0336,0.571,0.0,0.0894,0.714,129.938,245891,07tAOvgkR3uIVnbA2QaRPj,Loi Noi Doi Chan That,Julian Khang,Roi Tung Ngay Buon,07tAOvgkR3uIVnbA2QaRPj
86,0.673,1,0.806,6,-5.25,0.0286,0.0375,0.0,0.312,0.342,119.974,266000,4otPckwHKKGxSsIi97TCAD,Tìm (Lost) [feat. Mr. A],MIN,First Digital Album,4otPckwHKKGxSsIi97TCAD
87,0.592,1,0.519,6,-8.358,0.0267,0.698,1.93e-06,0.101,0.24,130.117,336640,3s3MStjEZpOWzgiWqJGMTY,Valentine Chờ,Tien Cookie,Valentine Chờ,3s3MStjEZpOWzgiWqJGMTY
88,0.641,0,0.623,9,-6.653,0.0336,0.806,3.33e-06,0.16,0.312,128.037,245577,1SChUrBDSxUe5C0Smld1Xe,Chinh La Anh,Nhiều người hát,Cảm Ơn Tình Yêu,1SChUrBDSxUe5C0Smld1Xe
89,0.403,0,0.827,10,-6.292,0.209,0.562,3.44e-05,0.376,0.747,90.031,229799,5gE9O3nQyuO8sTNFZ5mLQe,Look At Me - JustaTee ft Babie PA n Eddy Viet,JustaTee,JUST-A-TEE,5gE9O3nQyuO8sTNFZ5mLQe
90,0.441,1,0.514,5,-5.28,0.0282,0.637,5.63e-05,0.136,0.0997,132.035,251951,62dtIknY4bp5FUrk8vg4zT,,Various Artists,,62dtIknY4bp5FUrk8vg4zT
91,0.577,0,0.608,4,-6.84,0.0618,0.493,2.35e-06,0.14,0.354,150.081,253490,0OvafKt0LgdnbZe5z7tEZ1,Nhu Phut Ban Dau,Noo Phước Thịnh,Nhu Phut Ban Dau,0OvafKt0LgdnbZe5z7tEZ1
92,0.329,0,0.203,6,-11.624,0.0321,0.913,1.94e-06,0.0959,0.387,155.149,327131,19R0JDTi1lmoB517X4C7Qo,,Various Artists,,19R0JDTi1lmoB517X4C7Qo
93,0.547,1,0.446,7,-6.072,0.0275,0.793,0.0,0.156,0.262,124.168,285227,0XIOrnD83BaCFL5qdXsOM1,Em Yeu Anh Nhieu Lam,Bảo Thy,Ki Uc Cua Mua,0XIOrnD83BaCFL5qdXsOM1
94,0.809,1,0.581,0,-10.858,0.172,0.594,0.0,0.0805,0.701,100.014,258664,0BxzU00bTtVV00cKZp5Qyw,Nothing In Your Eyes,YanBi,Yanbi Collection,0BxzU00bTtVV00cKZp5Qyw
95,0.703,0,0.804,0,-5.349,0.0319,0.612,0.000868,0.101,0.79,119.987,262087,7mqr478k7Tx8f2zo5lfhas,Beautiful Girl,Cuong Seven,You And I Single,7mqr478k7Tx8f2zo5lfhas
